municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
PARANATAMA,45311.08,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723746
PARNAMIRIM,167605.77,443.0,1330.6,1.0,1911.42,3.0,65.2,34.8,580.82,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723748
PASSIRA,194672.13,409.0,7757.18,7.0,5244.79,9.0,55.8,44.2,2843.77,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723749
PAUDALHO,905308.67,1403.0,16586.82,13.0,12387.24,13.0,50.5,49.5,10095.49,11.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723750
PAULISTA,10765956.39,21562.0,83404.61,122.0,419748.03,365.0,93.4,6.6,253610.41,204.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723751
PEDRA,184896.32,299.0,14359.24,10.0,8797.83,8.0,50.6,49.4,7651.35,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723752
PESQUEIRA,770753.34,1387.0,37168.3,42.0,55454.48,79.0,64.8,35.2,29741.22,33.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723753
PETROLANDIA,304198.5,781.0,3477.71,5.0,707.92,3.0,21.2,78.8,300.0,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723754
PETROLINA,15676419.97,19812.0,798211.88,425.0,688541.2,589.0,72.2,27.8,228705.47,247.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723755
POCAO,61660.63,154.0,4331.54,7.0,3344.38,4.0,70.1,29.9,2000.0,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723756
POMBOS,197310.17,506.0,3827.45,6.0,2156.33,4.0,79.5,20.5,441.44,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723760
PRIMAVERA,59905.08,280.0,3548.37,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723761
QUIPAPA,87423.86,260.0,1287.94,1.0,8206.11,8.0,49.8,50.2,2511.89,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723762
QUIXABA,53122.41,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723763
RECIFE,171776800.0,151154.0,5497567.12,2634.0,2476214.83,1906.0,55.7,44.3,1211156.39,873.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723764
RIACHO DAS ALMAS,134709.39,358.0,10732.95,10.0,9511.19,17.0,47.6,52.4,9131.2,15.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723765
RIBEIRAO,366375.61,872.0,141.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723766
RIO FORMOSO,194289.23,443.0,3602.89,2.0,6078.24,6.0,37.5,62.5,2175.15,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723767
